"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3CwHonJzs4dZuASYwTjEYf","No Surprise","spotify:artist:5uy67fWgovgNdbkP1kAf7m","Warhaus","spotify:album:2xpXAVpzwfzp1Zm4vgeTXY","No Surprise","spotify:artist:5uy67fWgovgNdbkP1kAf7m","Warhaus","2024-10-03","https://i.scdn.co/image/ab67616d0000b273435f2d95ac4bfffcb80dd7bf","1","1","224114","https://p.scdn.co/mp3-preview/918ae83968fb3a5a543e28c83f72b488f07fd070?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBENL2404070","","2025-07-27T13:14:48Z"
"spotify:track:6VWsWgliFma9IFL2NlQ1H7","Check the Lock","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","spotify:album:0b1q9se93BEqBl3kiltn33","Visions of Bodies Being Burned","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","2020-10-23","https://i.scdn.co/image/ab67616d0000b273b63780c667c5cc123273294b","1","10","217322","https://p.scdn.co/mp3-preview/0cbb0a25c8c31943d85f1ec2271e18407d518c17?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","USSUB2033110","","2025-07-26T15:21:23Z"
"spotify:track:3Ot5N9GGKyybaylaNUmESl","Under the Sun - 2009 Remaster","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","spotify:album:61j7phQkxuKzcoFsi0XtkQ","Vol. 4","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","1972-09-25","https://i.scdn.co/image/ab67616d0000b2730a774ec695cc0a967250b966","1","10","353240","https://p.scdn.co/mp3-preview/93388d4eb5fffca29ba418a681c1008a7af459e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","GBAJE7200137","","2025-07-25T18:08:39Z"
"spotify:track:12yHvSYFXI7PGzNecUvIDu","Saturday Night’s Alright (For Fighting) - Remastered 2014","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","spotify:album:5WupqgR68HfuHt3BMJtgun","Goodbye Yellow Brick Road (Remastered)","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","1973-10-05","https://i.scdn.co/image/ab67616d0000b273f72f1e38e9bd48f18a17ed9b","1","14","295466","https://p.scdn.co/mp3-preview/b8a6d629145b07df5a30874cee5b608a1849cade?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBUM71304966","","2025-07-25T16:23:12Z"
"spotify:track:4gad1qhsqNL63n9OyCDsjL","All The Girls Love Alice - Remastered 2014","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","spotify:album:5WupqgR68HfuHt3BMJtgun","Goodbye Yellow Brick Road (Remastered)","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","1973-10-05","https://i.scdn.co/image/ab67616d0000b273f72f1e38e9bd48f18a17ed9b","1","12","308353","https://p.scdn.co/mp3-preview/d6a74e74bd066d7fe31564dbaf7fc563af152a8a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","GBUM71304964","","2025-07-25T16:13:03Z"
"spotify:track:4IRHwIZHzlHT1FQpRa5RdE","Goodbye Yellow Brick Road - Remastered 2014","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","spotify:album:5WupqgR68HfuHt3BMJtgun","Goodbye Yellow Brick Road (Remastered)","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","1973-10-05","https://i.scdn.co/image/ab67616d0000b273f72f1e38e9bd48f18a17ed9b","1","4","192826","https://p.scdn.co/mp3-preview/2bbb66b8e6b0ffc9d5b0d6be802fabf4053c8a33?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBUM71304956","","2025-07-25T15:42:52Z"
"spotify:track:4pdLZsxq0y5oJDb6Cxlokw","You Got Me","spotify:artist:78xUyw6FkVZrRAtziFdtdu, spotify:artist:7i3os1iEWOn5UpaylRiMw5, spotify:artist:7IfculRW2WXyzNQ8djX8WX, spotify:artist:4d3yvTptO48nOYTPBcPFZC","The Roots, Tariq Trotter, Erykah Badu, Eve","spotify:album:0qbl8aNaCUOvX8HGsZYLfh","Things Fall Apart","spotify:artist:78xUyw6FkVZrRAtziFdtdu","The Roots","1999-02-23","https://i.scdn.co/image/ab67616d0000b273bac8015c7e47644fb86e27e2","1","15","259306","https://p.scdn.co/mp3-preview/f4641725913fa517e953fd36c6a0866fc07cc6cb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","USMC19858697","","2025-07-25T12:59:14Z"
"spotify:track:51bnnsURQ9bITMraBp4Vbu","How I Got Over","spotify:artist:78xUyw6FkVZrRAtziFdtdu","The Roots","spotify:album:25sYZjutddzUpXNbeQ7bEC","How I Got Over","spotify:artist:78xUyw6FkVZrRAtziFdtdu","The Roots","2010-06-22","https://i.scdn.co/image/ab67616d0000b2735f306aa63a7bb18e7bf9152b","1","6","213773","https://p.scdn.co/mp3-preview/251355a7bd80451774db59aaa9f67d30c30e2d0d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","USUM70974863","","2025-07-25T07:52:02Z"
"spotify:track:0QZkqy0yPdZ4KR8mroQ8CN","Right On","spotify:artist:78xUyw6FkVZrRAtziFdtdu, spotify:artist:4gn6f5jaOO75s0oF7ozqGG, spotify:artist:09e1aib7HBYGg3XBOVhVsN","The Roots, Joanna Newsom, STS","spotify:album:25sYZjutddzUpXNbeQ7bEC","How I Got Over","spotify:artist:78xUyw6FkVZrRAtziFdtdu","The Roots","2010-06-22","https://i.scdn.co/image/ab67616d0000b2735f306aa63a7bb18e7bf9152b","1","9","216026","https://p.scdn.co/mp3-preview/eeddc0b35a811d2a67048ee5bda8c3df386a0e49?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","USUM71015997","","2025-07-24T19:13:48Z"
"spotify:track:68Dni7IE4VyPkTOH9mRWHr","No Role Modelz","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:0UMMIkurRUmkruZ3KGBLtG","2014 Forest Hills Drive","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2014-12-09","https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8","1","9","292799","https://p.scdn.co/mp3-preview/062b69c85ad8361d6d7e484aa798b3596d174306?cid=9950ac751e34487dbbe027c4fd7f8e99","true","87","USQX91402598","","2025-07-24T17:39:15Z"
